quote	quoteclass	imageclass
Whats your favorite national park?	0	general
How many national parks have you visted? Tell us in the comments!	1	general
We're planning a roadtrip! Which national parks should we visit?	1	general
Whats the best time of year to visit your favorite national park?	1	general
Where should we go next?	0	general
What landscapes most inspire you? Tell us and we'll include more of them!	1	general
Some trivia: In which US national park can you find North America's highest mountain?	1	general
The world is big and I want to have a good look at it before it gets dark. - John Muir	1	general
In every walk with Nature one receives far more than he seeks. - John Muir	1	general
Which national parks are on your bucket list?	1	general
None of Nature’s landscapes are ugly so long as they are wild. - John Muir	0	general
Some say national parks were America's greatest idea...	1	general
Keep close to Nature's heart... and break clear away, once in a while, and climb a mountain or spend a week in the woods. Wash your spirit clean. - John Muir	2	general
Wilderness is a place for more than recreation. Its where are are best able to contemplate out place in the world.	1	general
If future generations are to remember us with gratitude rather than contempt, we must leave them something more than the miracles of technology. We must leave them a glimpse of the world as it was in the beginning, not just after we got through with it. - Lyndon B. Johnson	1	general
I hope that the United States of America is not so rich that she can afford to let these wildernesses pass by. Or so poor that she cannot afford to keep them. - Margaret Murie	1	general
And this, our life exempt from public haunt, finds tongues in trees, books in running brooks, sermons in stones, and good in everything. - William Shakespeare	1	general
The wilderness and the idea of wilderness is one of the permanent homes of the human spirit. - Joseph Wood Krutch	1	general
In wildness is the preservation of the world. - Henry David Thereau	2	general
The earth laughs in flowers. - Ralph Waldo Emerson	2	general
Adventure is worthwhile. - Aesop	1	general
We travel not to escape life, but for life not to escape us. - Anonymous	0	general
The world is a book, and those who do not travel read only one page. - Saint Augustine	1	general
Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did do. - Mark Twain	2	general
Not all those who wander are lost. - J.R.R. Tolkien	0	general
I haven't been everywhere, but it's on my list. - Susan Sontag	2	general
For my part, I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move. - Robert Louis Stevenson	1	general
Theres a wide world out there	0	general
Visit the US's natural parks to wonder at the natural world!	0	general
A national park is not a playground. It's a sanctuary for nature and for humans who will accept nature on nature's own terms - Michael Frome	0	general
One touch of nature makes the whole world kin - William Shakespeare	1	general
Look deep into nature, and then you will understand everything better - Albert Einstein	0	general
In nature, nothing is perfect and everything is perfect. Trees can be contorted, bent in weird ways, and they're still beautiful - Alice Walker	1	general
Earth and sky, woods and fields, lakes and rivers, the mountain and the sea, are excellent schoolmasters, and teach some of us more than we can ever learn from books. - John Lubbock	1	general
One of the first conditions of happiness is that the link between Man and Nature shall not be broken. - Leo Tolstoy	1	general
Whenever we encounter wild animals in nature, we must only ever show kindness and compassion. - Paul Oxton	1	animals
The earth laughs in flowers. - Ralph Waldo Emerson	2	animals
Tag a friend who loves wildlife!	0	animals
Do you love wildlife photography too? Share an image or a story with us!	1	animals
When it comes to conserving wildlife and the environment, It's more important to be outspoken, than unspoken. - Paul Oxton 	1	animals
Wildlife surprises you when you least expect it. - Mohamedibrahim	0	animals
Wildlife in the world can only be protected by the love of compassionate hearts in the world! - Mehmet Murat ildan	1	animals
The rules of wildlife are simple and clear, which is not the case for men. - Laureny Baheux	0	animals
If you can reach out and touch and love and be with wildlife, you will forever be changed, and you will want to make the world a better place. - Terri Irwin	1	animals
Study nature, love nature, stay close to nature. It will never fail you. - Frank Lloyd Wright	2	animals
America's national parks are the best places in the nation to encouter wildlife in its natural habitat!	1	animals
Take a hike into the backcountry and you'll never know what you'll find ... 	0	animals
Biodiversity is one of the world's greatest assets, and national parks enable you to experience it	1	animals
We have not inherited this earth from our parents - we have borrowed it from our children - Moses Henry Cass (attributed)	0	animals
If having a soul means being able to feel love and loyalty and gratitude, then animals are better off than a lot of humans. ― James Herriot	1	animals
An animal's eyes have the power to speak a great language. ― Martin Buber	1	animals
Some people talk to animals. Not many listen though. That's the problem. ― A.A. Milne 	0	animals
Animals are born who they are, accept it, and that is that. They live with greater peace than people do. ― Gregory Maguire 	0	animals
To see ten thousand animals untamed and not branded with the symbols of human commerce is like scaling an unconquered mountain for the first time, or like finding a forest without roads or footpaths, or the blemish of an axe. You know then what you had always been told — that the world once lived and grew without adding machines and newsprint and brick-walled streets and the tyranny of clocks. ― Beryl Markham	0	animals
Whats your favorite national park?	1	buildings
National parks have famous structures too! 	1	buildings
What historic buildings are on your bucket list?	2	buildings
Tag someone who loves historic buildings!	1	buildings
It is not the beauty of a building you should look at; its the construction of the foundation that will stand the test of time. - David Allan Coe 	1	buildings
Good buildings come from good people, and all problems are solved by good design. - Stephan Gardiner 	1	buildings
A building has integrity just like a man. And just as seldom. - Ayn Rand	0	buildings
Great buildings, like great mountains, are the work of centuries. - Victor Hugo 	2	buildings
When we build, let us think that we build forever. - John Ruskin 	0	buildings
Architecture is the very mirror of life. You only have to cast your eyes on buildings to feel the presence of the past, the spirit of a place; they are the reflection of society. - I.M Pei    	2	buildings
Whats your favorite national park?	1	landscapes
How many national parks have you visted? Tell us in the comments!	1	landscapes
We're planning a roadtrip! Which national parks should we visit?	1	landscapes
Whats the best time of year to visit your favorite national park?	1	landscapes
Where should we go next?	0	landscapes
What landscapes most inspire you? Tell us and we'll include more of them!	1	landscapes
Some trivia: In which US national park can you find North America's highest mountain?	1	landscapes
The world is big and I want to have a good look at it before it gets dark. - John Muir	0	landscapes
In every walk with Nature one receives far more than he seeks. - John Muir	1	landscapes
Which national parks are on your bucket list?	1	landscapes
None of Nature’s landscapes are ugly so long as they are wild. - John Muir	2	landscapes
Some say national parks were America's greatest idea...	1	landscapes
Keep close to Nature's heart... and break clear away, once in a while, and climb a mountain or spend a week in the woods. Wash your spirit clean. - John Muir	2	landscapes
Wilderness is a place for more than recreation. Its where are are best able to contemplate out place in the world.	1	landscapes
If future generations are to remember us with gratitude rather than contempt, we must leave them something more than the miracles of technology. We must leave them a glimpse of the world as it was in the beginning, not just after we got through with it. - Lyndon B. Johnson	1	landscapes
I hope that the United States of America is not so rich that she can afford to let these wildernesses pass by. Or so poor that she cannot afford to keep them. - Margaret Murie	1	landscapes
And this, our life exempt from public haunt, finds tongues in trees, books in running brooks, sermons in stones, and good in everything. - William Shakespeare	1	landscapes
The wilderness and the idea of wilderness is one of the permanent homes of the human spirit. - Joseph Wood Krutch	1	landscapes
In wildness is the preservation of the world. - Henry David Thereau	2	landscapes
Adventure is worthwhile. - Aesop	1	landscapes
We travel not to escape life, but for life not to escape us. - Anonymous	0	landscapes
Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did do. - Mark Twain	2	landscapes
Collect moments and memories, not things - Anonymous	2	landscapes
When you least expect it, the great adventure finds you - Anonymous 	2	landscapes
Life is like a landscape. You live in the midst of it but can describe it only from the vantage point of distance. - Charles Lindbergh 	0	landscapes
Any landscape is a condition of the spirit. - Henri Frederic Amiel 	0	landscapes
The clearest way into the Universe is through a forest wilderness. - John Muir	1	landscapes
If Music is a Place -- then Jazz is the City, Folk is the Wilderness, Rock is the Road, Classical is a Temple. - Vera Nazarian	0	landscapes
Like music and art, love of nature is a common language that can transcend political or social boundaries. - Jimmy Carter	1	landscapes
Tell us about an inspirational landscape you've visited recently!	2	landscapes
"Have you heard of the ""overview effect""? Something similar is said to happen to people experiencing the natural world"	0	landscapes
Spending some time in the natural world once in a while might help you focus in on who you are and what you want in life	1	landscapes
Did you know that that the National Park Service employs almost 30,000 people?	1	people
National park staff are employed to protect, manage and care for the nation's wild spaces.	1	people
A park ranger is a protector. You protect the land from the people, the people from the land, the people from each other, and the people from themselves. It's what you are trained to do without even thinking, a reflexive and unconditional act. - Kurt Caswell 	1	people
Some say national parks were America's greatest idea...	1	people
Adventure is worthwhile. - Aesop	1	people
The world is a book, and those who do not travel read only one page. - Saint Augustine	1	people
Not all those who wander are lost. - J.R.R. Tolkien	0	people
I haven't been everywhere, but it's on my list. - Susan Sontag	2	people
For my part, I travel not to go anywhere, but to go. I travel for travel's sake. The great affair is to move. - Robert Louis Stevenson	1	people
“The clearest way into the Universe is through a forest wilderness.” - Johyn Muir	1	people
